DROUGHT.10013 DROUGHT.10013.1
DROUGHT.10643 DROUGHT.10643.1
DROUGHT.10643 DROUGHT.10643.2
DROUGHT.10645 DROUGHT.10645.1
DROUGHT.10646 DROUGHT.10646.1
DROUGHT.10646 DROUGHT.10646.2
DROUGHT.10650 DROUGHT.10650.1
DROUGHT.10650 DROUGHT.10650.2
DROUGHT.10716 DROUGHT.10716.1
DROUGHT.10724 DROUGHT.10724.1
DROUGHT.10847 DROUGHT.10847.1
DROUGHT.10848 DROUGHT.10848.1
DROUGHT.10866 DROUGHT.10866.1
DROUGHT.10988 DROUGHT.10988.1
DROUGHT.10997 DROUGHT.10997.1
DROUGHT.10998 DROUGHT.10998.1
DROUGHT.11027 DROUGHT.11027.1
DROUGHT.11030 DROUGHT.11030.1
DROUGHT.11030 DROUGHT.11030.3
DROUGHT.11040 DROUGHT.11040.1
DROUGHT.11040 DROUGHT.11040.2
DROUGHT.11041 DROUGHT.11041.1
DROUGHT.11042 DROUGHT.11042.1
DROUGHT.11049 DROUGHT.11049.1
DROUGHT.11098 DROUGHT.11098.1
DROUGHT.1119 DROUGHT.1119.1
DROUGHT.1119 DROUGHT.1119.3
DROUGHT.11204 DROUGHT.11204.1
DROUGHT.11222 DROUGHT.11222.1
DROUGHT.11222 DROUGHT.11222.2
DROUGHT.11284 DROUGHT.11284.1
DROUGHT.11291 DROUGHT.11291.1
DROUGHT.1136 DROUGHT.1136.1
DROUGHT.1137 DROUGHT.1137.1
DROUGHT.11398 DROUGHT.11398.1
DROUGHT.11473 DROUGHT.11473.1
DROUGHT.11584 DROUGHT.11584.1
DROUGHT.11656 DROUGHT.11656.1
DROUGHT.11660 DROUGHT.11660.1
DROUGHT.11660 DROUGHT.11660.2
DROUGHT.11688 DROUGHT.11688.1
DROUGHT.11710 DROUGHT.11710.1
DROUGHT.11710 DROUGHT.11710.2
DROUGHT.11710 DROUGHT.11710.3
DROUGHT.11710 DROUGHT.11710.4
DROUGHT.11725 DROUGHT.11725.1
DROUGHT.11725 DROUGHT.11725.2
DROUGHT.11725 DROUGHT.11725.3
DROUGHT.11829 DROUGHT.11829.1
DROUGHT.11829 DROUGHT.11829.2
DROUGHT.11844 DROUGHT.11844.1
DROUGHT.11865 DROUGHT.11865.1
DROUGHT.11869 DROUGHT.11869.1
DROUGHT.11879 DROUGHT.11879.1
DROUGHT.11908 DROUGHT.11908.1
DROUGHT.11908 DROUGHT.11908.2
DROUGHT.11908 DROUGHT.11908.3
DROUGHT.11924 DROUGHT.11924.1
DROUGHT.11945 DROUGHT.11945.1
DROUGHT.11972 DROUGHT.11972.1
DROUGHT.11972 DROUGHT.11972.2
DROUGHT.11972 DROUGHT.11972.3
DROUGHT.11996 DROUGHT.11996.1
DROUGHT.12118 DROUGHT.12118.1
DROUGHT.12151 DROUGHT.12151.1
DROUGHT.12245 DROUGHT.12245.1
DROUGHT.12245 DROUGHT.12245.2
DROUGHT.1231 DROUGHT.1231.1
DROUGHT.1231 DROUGHT.1231.2
DROUGHT.1231 DROUGHT.1231.3
DROUGHT.1231 DROUGHT.1231.4
DROUGHT.12390 DROUGHT.12390.1
DROUGHT.12391 DROUGHT.12391.1
DROUGHT.12461 DROUGHT.12461.1
DROUGHT.12461 DROUGHT.12461.2
DROUGHT.12461 DROUGHT.12461.3
DROUGHT.12462 DROUGHT.12462.1
DROUGHT.12477 DROUGHT.12477.1
DROUGHT.12486 DROUGHT.12486.1
DROUGHT.12581 DROUGHT.12581.1
DROUGHT.1259 DROUGHT.1259.1
DROUGHT.12652 DROUGHT.12652.1
DROUGHT.12652 DROUGHT.12652.2
DROUGHT.1272 DROUGHT.1272.1
DROUGHT.12751 DROUGHT.12751.1
DROUGHT.12751 DROUGHT.12751.2
DROUGHT.12912 DROUGHT.12912.1
DROUGHT.12912 DROUGHT.12912.3
DROUGHT.12947 DROUGHT.12947.1
DROUGHT.13052 DROUGHT.13052.1
DROUGHT.13071 DROUGHT.13071.1
DROUGHT.13071 DROUGHT.13071.2
DROUGHT.13071 DROUGHT.13071.3
DROUGHT.13071 DROUGHT.13071.4
DROUGHT.13142 DROUGHT.13142.1
DROUGHT.1315 DROUGHT.1315.2
DROUGHT.1315 DROUGHT.1315.3
DROUGHT.13185 DROUGHT.13185.1
DROUGHT.13237 DROUGHT.13237.1
DROUGHT.13237 DROUGHT.13237.2
DROUGHT.13237 DROUGHT.13237.3
DROUGHT.13238 DROUGHT.13238.1
DROUGHT.13238 DROUGHT.13238.2
DROUGHT.13238 DROUGHT.13238.3
DROUGHT.13238 DROUGHT.13238.4
DROUGHT.13241 DROUGHT.13241.1
DROUGHT.13293 DROUGHT.13293.1
DROUGHT.13324 DROUGHT.13324.1
DROUGHT.13338 DROUGHT.13338.1
DROUGHT.13362 DROUGHT.13362.1
DROUGHT.13397 DROUGHT.13397.1
DROUGHT.13397 DROUGHT.13397.2
DROUGHT.1340 DROUGHT.1340.1
DROUGHT.13476 DROUGHT.13476.1
DROUGHT.13499 DROUGHT.13499.1
DROUGHT.13517 DROUGHT.13517.1
DROUGHT.13631 DROUGHT.13631.1
DROUGHT.13667 DROUGHT.13667.1
DROUGHT.13674 DROUGHT.13674.1
DROUGHT.1368 DROUGHT.1368.1
DROUGHT.13680 DROUGHT.13680.1
DROUGHT.13715 DROUGHT.13715.1
DROUGHT.13727 DROUGHT.13727.1
DROUGHT.13737 DROUGHT.13737.1
DROUGHT.13739 DROUGHT.13739.1
DROUGHT.13751 DROUGHT.13751.1
DROUGHT.13759 DROUGHT.13759.1
DROUGHT.1380 DROUGHT.1380.1
DROUGHT.13881 DROUGHT.13881.1
DROUGHT.13885 DROUGHT.13885.1
DROUGHT.13885 DROUGHT.13885.10
DROUGHT.13885 DROUGHT.13885.2
DROUGHT.13885 DROUGHT.13885.3
DROUGHT.13885 DROUGHT.13885.4
DROUGHT.13885 DROUGHT.13885.5
DROUGHT.13885 DROUGHT.13885.6
DROUGHT.13885 DROUGHT.13885.7
DROUGHT.13885 DROUGHT.13885.8
DROUGHT.13885 DROUGHT.13885.9
DROUGHT.13890 DROUGHT.13890.1
DROUGHT.13890 DROUGHT.13890.2
DROUGHT.13896 DROUGHT.13896.1
DROUGHT.13923 DROUGHT.13923.1
DROUGHT.13926 DROUGHT.13926.1
DROUGHT.13926 DROUGHT.13926.2
DROUGHT.13933 DROUGHT.13933.1
DROUGHT.13934 DROUGHT.13934.1
DROUGHT.13934 DROUGHT.13934.2
DROUGHT.13934 DROUGHT.13934.3
DROUGHT.13934 DROUGHT.13934.4
DROUGHT.13934 DROUGHT.13934.5
DROUGHT.13934 DROUGHT.13934.6
DROUGHT.13934 DROUGHT.13934.7
DROUGHT.13936 DROUGHT.13936.1
DROUGHT.13936 DROUGHT.13936.2
DROUGHT.13940 DROUGHT.13940.1
DROUGHT.13940 DROUGHT.13940.2
DROUGHT.13940 DROUGHT.13940.3
DROUGHT.13940 DROUGHT.13940.4
DROUGHT.13940 DROUGHT.13940.5
DROUGHT.13951 DROUGHT.13951.1
DROUGHT.13952 DROUGHT.13952.1
DROUGHT.13953 DROUGHT.13953.1
DROUGHT.13953 DROUGHT.13953.2
DROUGHT.13953 DROUGHT.13953.3
DROUGHT.13953 DROUGHT.13953.4
DROUGHT.13953 DROUGHT.13953.5
DROUGHT.13953 DROUGHT.13953.6
DROUGHT.13971 DROUGHT.13971.1
DROUGHT.13972 DROUGHT.13972.1
DROUGHT.13980 DROUGHT.13980.1
DROUGHT.13981 DROUGHT.13981.1
DROUGHT.13984 DROUGHT.13984.1
DROUGHT.13985 DROUGHT.13985.1
DROUGHT.1400 DROUGHT.1400.1
DROUGHT.14004 DROUGHT.14004.1
DROUGHT.14039 DROUGHT.14039.1
DROUGHT.14039 DROUGHT.14039.2
DROUGHT.14039 DROUGHT.14039.3
DROUGHT.14039 DROUGHT.14039.4
DROUGHT.14039 DROUGHT.14039.5
DROUGHT.14039 DROUGHT.14039.6
DROUGHT.14039 DROUGHT.14039.7
DROUGHT.14067 DROUGHT.14067.1
DROUGHT.14070 DROUGHT.14070.1
DROUGHT.14070 DROUGHT.14070.2
DROUGHT.14080 DROUGHT.14080.1
DROUGHT.14082 DROUGHT.14082.1
DROUGHT.14100 DROUGHT.14100.1
DROUGHT.14136 DROUGHT.14136.1
DROUGHT.14142 DROUGHT.14142.1
DROUGHT.14143 DROUGHT.14143.1
DROUGHT.14173 DROUGHT.14173.1
DROUGHT.14196 DROUGHT.14196.1
DROUGHT.14196 DROUGHT.14196.2
DROUGHT.14196 DROUGHT.14196.3
DROUGHT.14196 DROUGHT.14196.4
DROUGHT.14196 DROUGHT.14196.6
DROUGHT.14199 DROUGHT.14199.1
DROUGHT.14199 DROUGHT.14199.2
DROUGHT.14233 DROUGHT.14233.1
DROUGHT.14234 DROUGHT.14234.1
DROUGHT.14234 DROUGHT.14234.2
DROUGHT.14234 DROUGHT.14234.3
DROUGHT.14237 DROUGHT.14237.1
DROUGHT.14237 DROUGHT.14237.2
DROUGHT.14237 DROUGHT.14237.3
DROUGHT.14254 DROUGHT.14254.1
DROUGHT.14254 DROUGHT.14254.2
DROUGHT.14255 DROUGHT.14255.1
DROUGHT.14260 DROUGHT.14260.1
DROUGHT.14260 DROUGHT.14260.2
DROUGHT.14279 DROUGHT.14279.1
DROUGHT.14285 DROUGHT.14285.1
DROUGHT.14286 DROUGHT.14286.1
DROUGHT.14288 DROUGHT.14288.1
DROUGHT.14294 DROUGHT.14294.1
DROUGHT.14297 DROUGHT.14297.1
DROUGHT.14298 DROUGHT.14298.1
DROUGHT.14304 DROUGHT.14304.1
DROUGHT.14321 DROUGHT.14321.1
DROUGHT.14324 DROUGHT.14324.1
DROUGHT.14324 DROUGHT.14324.2
DROUGHT.14324 DROUGHT.14324.3
DROUGHT.14324 DROUGHT.14324.4
DROUGHT.14324 DROUGHT.14324.5
DROUGHT.14324 DROUGHT.14324.6
DROUGHT.14335 DROUGHT.14335.1
DROUGHT.14335 DROUGHT.14335.2
DROUGHT.14342 DROUGHT.14342.1
DROUGHT.14351 DROUGHT.14351.1
DROUGHT.14355 DROUGHT.14355.1
DROUGHT.14356 DROUGHT.14356.1
DROUGHT.14364 DROUGHT.14364.1
DROUGHT.14372 DROUGHT.14372.1
DROUGHT.14391 DROUGHT.14391.1
DROUGHT.14391 DROUGHT.14391.2
DROUGHT.14392 DROUGHT.14392.1
DROUGHT.14392 DROUGHT.14392.2
DROUGHT.14406 DROUGHT.14406.1
DROUGHT.14406 DROUGHT.14406.2
DROUGHT.1441 DROUGHT.1441.1
DROUGHT.14424 DROUGHT.14424.1
DROUGHT.14426 DROUGHT.14426.1
DROUGHT.14428 DROUGHT.14428.1
DROUGHT.14428 DROUGHT.14428.2
DROUGHT.14429 DROUGHT.14429.1
DROUGHT.14429 DROUGHT.14429.2
DROUGHT.14429 DROUGHT.14429.3
DROUGHT.14430 DROUGHT.14430.1
DROUGHT.14434 DROUGHT.14434.1
DROUGHT.14434 DROUGHT.14434.2
DROUGHT.14435 DROUGHT.14435.1
DROUGHT.14435 DROUGHT.14435.2
DROUGHT.14437 DROUGHT.14437.1
DROUGHT.14442 DROUGHT.14442.1
DROUGHT.14444 DROUGHT.14444.1
DROUGHT.14449 DROUGHT.14449.1
DROUGHT.14452 DROUGHT.14452.1
DROUGHT.14452 DROUGHT.14452.2
DROUGHT.14452 DROUGHT.14452.3
DROUGHT.14453 DROUGHT.14453.1
DROUGHT.14453 DROUGHT.14453.2
DROUGHT.14453 DROUGHT.14453.3
DROUGHT.14453 DROUGHT.14453.4
DROUGHT.14457 DROUGHT.14457.1
DROUGHT.14458 DROUGHT.14458.1
DROUGHT.14460 DROUGHT.14460.1
DROUGHT.14464 DROUGHT.14464.1
DROUGHT.14465 DROUGHT.14465.1
DROUGHT.14467 DROUGHT.14467.1
DROUGHT.14467 DROUGHT.14467.2
DROUGHT.1447 DROUGHT.1447.1
DROUGHT.14472 DROUGHT.14472.1
DROUGHT.14472 DROUGHT.14472.2
DROUGHT.14472 DROUGHT.14472.3
DROUGHT.14472 DROUGHT.14472.4
DROUGHT.14480 DROUGHT.14480.1
DROUGHT.14481 DROUGHT.14481.1
DROUGHT.14481 DROUGHT.14481.2
DROUGHT.14481 DROUGHT.14481.3
DROUGHT.14492 DROUGHT.14492.1
DROUGHT.14498 DROUGHT.14498.1
DROUGHT.14499 DROUGHT.14499.1
DROUGHT.14516 DROUGHT.14516.1
DROUGHT.14516 DROUGHT.14516.2
DROUGHT.14517 DROUGHT.14517.1
DROUGHT.14523 DROUGHT.14523.1
DROUGHT.14529 DROUGHT.14529.1
DROUGHT.14529 DROUGHT.14529.2
DROUGHT.14533 DROUGHT.14533.1
DROUGHT.1454 DROUGHT.1454.1
DROUGHT.14542 DROUGHT.14542.1
DROUGHT.14542 DROUGHT.14542.2
DROUGHT.14562 DROUGHT.14562.1
DROUGHT.14566 DROUGHT.14566.1
DROUGHT.14568 DROUGHT.14568.1
DROUGHT.14570 DROUGHT.14570.1
DROUGHT.14572 DROUGHT.14572.1
DROUGHT.14575 DROUGHT.14575.1
DROUGHT.1459 DROUGHT.1459.1
DROUGHT.14615 DROUGHT.14615.1
DROUGHT.14628 DROUGHT.14628.1
DROUGHT.14628 DROUGHT.14628.2
DROUGHT.14633 DROUGHT.14633.1
DROUGHT.14670 DROUGHT.14670.1
DROUGHT.14670 DROUGHT.14670.2
DROUGHT.14678 DROUGHT.14678.1
DROUGHT.14705 DROUGHT.14705.1
DROUGHT.14706 DROUGHT.14706.1
DROUGHT.14725 DROUGHT.14725.1
DROUGHT.14726 DROUGHT.14726.1
DROUGHT.14734 DROUGHT.14734.1
DROUGHT.14762 DROUGHT.14762.1
DROUGHT.14762 DROUGHT.14762.2
DROUGHT.14763 DROUGHT.14763.1
DROUGHT.1478 DROUGHT.1478.1
DROUGHT.14824 DROUGHT.14824.1
DROUGHT.14829 DROUGHT.14829.1
DROUGHT.14835 DROUGHT.14835.1
DROUGHT.14836 DROUGHT.14836.1
DROUGHT.14837 DROUGHT.14837.1
DROUGHT.14837 DROUGHT.14837.2
DROUGHT.14837 DROUGHT.14837.3
DROUGHT.14837 DROUGHT.14837.4
DROUGHT.14837 DROUGHT.14837.5
DROUGHT.14838 DROUGHT.14838.1
DROUGHT.14865 DROUGHT.14865.1
DROUGHT.14865 DROUGHT.14865.2
DROUGHT.14865 DROUGHT.14865.3
DROUGHT.14865 DROUGHT.14865.4
DROUGHT.14865 DROUGHT.14865.5
DROUGHT.14879 DROUGHT.14879.1
DROUGHT.14886 DROUGHT.14886.1
DROUGHT.14886 DROUGHT.14886.10
DROUGHT.14886 DROUGHT.14886.11
DROUGHT.14886 DROUGHT.14886.12
DROUGHT.14886 DROUGHT.14886.2
DROUGHT.14886 DROUGHT.14886.3
DROUGHT.14886 DROUGHT.14886.4
DROUGHT.14886 DROUGHT.14886.5
DROUGHT.14886 DROUGHT.14886.6
DROUGHT.14886 DROUGHT.14886.7
DROUGHT.14886 DROUGHT.14886.8
DROUGHT.14886 DROUGHT.14886.9
DROUGHT.14929 DROUGHT.14929.1
DROUGHT.14929 DROUGHT.14929.2
DROUGHT.14929 DROUGHT.14929.3
DROUGHT.14929 DROUGHT.14929.4
DROUGHT.1496 DROUGHT.1496.1
DROUGHT.15050 DROUGHT.15050.1
DROUGHT.15134 DROUGHT.15134.1
DROUGHT.15156 DROUGHT.15156.1
DROUGHT.15188 DROUGHT.15188.1
DROUGHT.15191 DROUGHT.15191.1
DROUGHT.15205 DROUGHT.15205.1
DROUGHT.15247 DROUGHT.15247.1
DROUGHT.15250 DROUGHT.15250.1
DROUGHT.15251 DROUGHT.15251.1
DROUGHT.15262 DROUGHT.15262.1
DROUGHT.15262 DROUGHT.15262.2
DROUGHT.15267 DROUGHT.15267.1
DROUGHT.15285 DROUGHT.15285.1
DROUGHT.15293 DROUGHT.15293.1
DROUGHT.15307 DROUGHT.15307.1
DROUGHT.15314 DROUGHT.15314.1
DROUGHT.15315 DROUGHT.15315.1
DROUGHT.15315 DROUGHT.15315.2
DROUGHT.15321 DROUGHT.15321.1
DROUGHT.15325 DROUGHT.15325.1
DROUGHT.15325 DROUGHT.15325.2
DROUGHT.15334 DROUGHT.15334.1
DROUGHT.15335 DROUGHT.15335.1
DROUGHT.15335 DROUGHT.15335.10
DROUGHT.15335 DROUGHT.15335.11
DROUGHT.15335 DROUGHT.15335.12
DROUGHT.15335 DROUGHT.15335.13
DROUGHT.15335 DROUGHT.15335.14
DROUGHT.15335 DROUGHT.15335.2
DROUGHT.15335 DROUGHT.15335.3
DROUGHT.15335 DROUGHT.15335.4
DROUGHT.15335 DROUGHT.15335.5
DROUGHT.15335 DROUGHT.15335.6
DROUGHT.15335 DROUGHT.15335.7
DROUGHT.15335 DROUGHT.15335.8
DROUGHT.15335 DROUGHT.15335.9
DROUGHT.15337 DROUGHT.15337.1
DROUGHT.15337 DROUGHT.15337.2
DROUGHT.15337 DROUGHT.15337.3
DROUGHT.15342 DROUGHT.15342.1
DROUGHT.15342 DROUGHT.15342.2
DROUGHT.15345 DROUGHT.15345.1
DROUGHT.15345 DROUGHT.15345.2
DROUGHT.15346 DROUGHT.15346.1
DROUGHT.15347 DROUGHT.15347.1
DROUGHT.15351 DROUGHT.15351.1
DROUGHT.15358 DROUGHT.15358.1
DROUGHT.15359 DROUGHT.15359.1
DROUGHT.15366 DROUGHT.15366.1
DROUGHT.15367 DROUGHT.15367.1
DROUGHT.15368 DROUGHT.15368.1
DROUGHT.15369 DROUGHT.15369.1
DROUGHT.15374 DROUGHT.15374.1
DROUGHT.15374 DROUGHT.15374.2
DROUGHT.15375 DROUGHT.15375.1
DROUGHT.15377 DROUGHT.15377.1
DROUGHT.15380 DROUGHT.15380.1
DROUGHT.15381 DROUGHT.15381.1
DROUGHT.15390 DROUGHT.15390.1
DROUGHT.15413 DROUGHT.15413.1
DROUGHT.1543 DROUGHT.1543.1
DROUGHT.15460 DROUGHT.15460.1
DROUGHT.15482 DROUGHT.15482.1
DROUGHT.15516 DROUGHT.15516.1
DROUGHT.15560 DROUGHT.15560.1
DROUGHT.15572 DROUGHT.15572.1
DROUGHT.15573 DROUGHT.15573.1
DROUGHT.15583 DROUGHT.15583.1
DROUGHT.15590 DROUGHT.15590.1
DROUGHT.15591 DROUGHT.15591.1
DROUGHT.15608 DROUGHT.15608.1
DROUGHT.15608 DROUGHT.15608.2
DROUGHT.1562 DROUGHT.1562.1
DROUGHT.15663 DROUGHT.15663.1
DROUGHT.15712 DROUGHT.15712.1
DROUGHT.15721 DROUGHT.15721.1
DROUGHT.15721 DROUGHT.15721.2
DROUGHT.15734 DROUGHT.15734.1
DROUGHT.15806 DROUGHT.15806.1
DROUGHT.15821 DROUGHT.15821.1
DROUGHT.15830 DROUGHT.15830.1
DROUGHT.15830 DROUGHT.15830.2
DROUGHT.15831 DROUGHT.15831.1
DROUGHT.15831 DROUGHT.15831.3
DROUGHT.15831 DROUGHT.15831.4
DROUGHT.15838 DROUGHT.15838.1
DROUGHT.15839 DROUGHT.15839.1
DROUGHT.15847 DROUGHT.15847.1
DROUGHT.15847 DROUGHT.15847.2
DROUGHT.15847 DROUGHT.15847.3
DROUGHT.15847 DROUGHT.15847.4
DROUGHT.15847 DROUGHT.15847.5
DROUGHT.15851 DROUGHT.15851.1
DROUGHT.15855 DROUGHT.15855.1
DROUGHT.15866 DROUGHT.15866.1
DROUGHT.15866 DROUGHT.15866.2
DROUGHT.15876 DROUGHT.15876.1
DROUGHT.15879 DROUGHT.15879.1
DROUGHT.15879 DROUGHT.15879.2
DROUGHT.15892 DROUGHT.15892.1
DROUGHT.15896 DROUGHT.15896.1
DROUGHT.15896 DROUGHT.15896.2
DROUGHT.15896 DROUGHT.15896.3
DROUGHT.15934 DROUGHT.15934.1
DROUGHT.15938 DROUGHT.15938.1
DROUGHT.15938 DROUGHT.15938.2
DROUGHT.15956 DROUGHT.15956.1
DROUGHT.15968 DROUGHT.15968.1
